x	y
0.3600	-0.0500
0.3594	-0.0685
0.3591	-0.0835
0.3587	-0.0985
0.3582	-0.1135
0.3575	-0.1285
0.3567	-0.1435
0.3556	-0.1584
0.3544	-0.1734
0.3530	-0.1883
0.3514	-0.2032
0.3495	-0.2181
0.3473	-0.2329
0.3449	-0.2477
0.3421	-0.2625
0.3391	-0.2772
0.3358	-0.2918
0.3321	-0.3063
0.3283	-0.3208
0.3244	-0.3353
0.3205	-0.3498
0.3165	-0.3643
0.3125	-0.3788
0.3085	-0.3932
0.3045	-0.4076
0.3004	-0.4221
0.2962	-0.4365
0.2921	-0.4509
0.2880	-0.4653
0.2838	-0.4797
0.2796	-0.4941
0.2754	-0.5085
0.2711	-0.5229
0.2669	-0.5373
0.2626	-0.5517
0.2583	-0.5660
0.2540	-0.5804
0.2497	-0.5948
0.2453	-0.6091
0.2410	-0.6235
0.2366	-0.6379
0.2323	-0.6522
0.2279	-0.6665
0.2235	-0.6809
0.2191	-0.6952
0.2147	-0.7096
0.2102	-0.7239
0.2058	-0.7382
0.2014	-0.7526
0.1969	-0.7669
0.1924	-0.7812
0.1880	-0.7955
0.1835	-0.8098
0.1790	-0.8241
0.1745	-0.8385
0.1700	-0.8528
0.1655	-0.8671
0.1610	-0.8814
0.1565	-0.8957
0.1519	-0.9100
0.1474	-0.9243
0.1428	-0.9386
0.1383	-0.9529
0.1337	-0.9671
0.1292	-0.9814
0.1246	-0.9957
0.1200	-1.0100
0.0900	-1.0400
0.1101	-1.0175
